Date,Open,High,Low,Close,Volume
1/14/2014,104.65,104.83,104.39,104.45,10343500
1/15/2014,104.04,104.51,103.93,104.34,7507464
1/16/2014,104.85,105.07,104.72,105.04,7137813
1/17/2014,104.86,105.52,104.79,105.48,7590772
1/21/2014,105.45,105.74,105.4,105.56,6435954
1/22/2014,105.37,105.75,105.24,105.3,4646691
1/23/2014,105.88,107.09,105.88,106.79,12960976
1/24/2014,107.19,107.49,106.99,107.48,11514538
1/27/2014,107.22,107.6,106.7,106.73,9222620
1/28/2014,106.91,106.99,106.55,106.99,5666819
1/29/2014,107.37,108.15,106.99,107.87,11718542
1/30/2014,107.47,107.67,107.11,107.56,5956881
1/31/2014,108.2,108.41,107.85,108.28,14691208
2/3/2014,107.79,109.34,107.61,109.32,20781789
2/4/2014,108.52,108.67,107.97,108.16,9573468
2/5/2014,107.69,107.78,107.01,107.16,10312498
2/6/2014,106.97,107.02,106.52,106.7,5708710
2/7/2014,106.46,107.22,106.44,106.79,7092838
2/10/2014,106.61,107.12,106.57,107.09,4370474
2/11/2014,106.61,106.69,106.16,106.47,5904855
2/12/2014,106.17,106.21,105.62,105.92,6723271
2/13/2014,106.59,106.73,106.3,106.52,6874873
2/14/2014,106.57,106.64,106.27,106.58,4999982
2/18/2014,106.66,107.2,106.62,106.82,4855814
2/19/2014,107.18,107.18,106.3,106.37,5522754
2/20/2014,106.32,106.63,105.69,106.11,5103383
2/21/2014,105.95,106.68,105.95,106.67,5250670
2/24/2014,106.7,106.74,106.17,106.4,3816733
2/25/2014,106.91,107.36,106.89,107.35,6225905
2/26/2014,107.31,107.92,107.24,107.92,7226557
2/27/2014,108.28,108.56,108.1,108.51,5394718
2/28/2014,108.28,108.74,107.78,108.57,8463065
3/3/2014,108.88,109.18,108.64,109.03,11099175
3/4/2014,108.35,108.35,107.36,107.39,8068066
3/5/2014,107.34,107.78,107.2,107.62,4798744
3/6/2014,106.76,106.97,106.52,106.56,7418274
3/7/2014,105.64,106.17,105.6,105.89,8270425
3/10/2014,105.94,106.11,105.78,106.04,3744495
3/11/2014,105.98,106.34,105.78,106.32,3815873
3/12/2014,106.92,107.26,106.78,107.06,6430504
3/13/2014,106.7,108.53,106.65,108.5,11815519
3/14/2014,108.97,108.98,108.32,108.52,9238004
3/17/2014,108.18,108.3,107.67,107.71,7382327
3/18/2014,107.68,108.15,107.6,108.1,4819536
3/19/2014,107.92,107.98,106.81,107.26,11557635
3/20/2014,107.09,107.63,106.99,107.07,5224411
3/21/2014,107.41,108.32,107.37,108.23,8986860
3/24/2014,108.05,109.09,107.95,109,7537423
3/25/2014,108.41,108.82,108.17,108.59,5032172
3/26/2014,108.55,109.48,108.48,109.44,7147736
3/27/2014,109.64,110.39,109.42,109.99,9773185
3/28/2014,109.86,109.89,109.02,109.37,6027026
3/31/2014,108.74,111.07,108.34,109.1,7488392
4/1/2014,108.26,108.36,107.84,107.89,9067266
4/2/2014,107.39,107.55,107.17,107.27,6887212
4/3/2014,107.52,107.94,107.44,107.74,4937393
4/4/2014,107.87,108.69,107.85,108.46,8977484
